Plant_Name,Best_Season,Depth_cm,Texture,pH,Organic_Matter_%,Moisture_Content_%,Bulk_Density_g/cm³,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm,Cation_Exchange_Capacity_meq/100g,Electrical_Conductivity_dS/m,Soil_Color,Porosity_%,Water_Holding_Capacity_%
Pineapple,Winter,74.3,Loamy,8.26,1.41,25.48,1.48,26.99,33.94,127.7,13.41,1.88,Yellow,32.25,39.01
Hemp,Winter,32.4,Loamy,6.42,1.0,21.84,1.28,34.82,27.56,68.93,5.86,2.2,Gray,34.05,39.76
Green Gram,Summer,91.9,Loamy,6.24,3.88,25.56,1.16,37.71,40.16,139.04,9.84,0.36,Red,41.08,40.96
Walnut,Autumn,23.9,Clayey,6.65,3.66,23.2,1.5,66.33,32.12,77.4,13.4,2.87,Red,46.12,30.53
Dragon Fruit,Spring,66.4,Silty,5.67,4.15,27.06,1.23,25.72,36.95,188.51,29.3,0.11,Red,56.05,39.98
Corn,Autumn,12.6,Sandy,7.93,2.05,31.81,1.13,75.95,32.77,183.3,18.18,0.84,Red,46.28,32.86
Wheat,Autumn,67.9,Silty,8.45,4.69,33.25,1.32,37.44,13.05,131.66,22.52,0.82,Brown,49.96,36.98
Barley,Winter,34.9,Loamy,7.97,1.04,29.47,1.47,53.95,29.45,117.42,21.84,3.47,Black,50.4,36.42
Eggplant,Spring,50.5,Sandy,7.16,0.64,15.97,1.5,68.94,17.74,65.39,29.52,2.48,Red,56.33,25.04
Lentils,Autumn,41.1,Sandy,6.39,1.85,21.91,1.59,58.93,30.66,173.5,18.89,4.2,Brown,53.3,45.4
Onion,Winter,25.5,Clayey,6.09,4.09,12.14,1.19,69.6,10.65,106.91,19.64,1.4,Gray,59.31,46.01
Cotton,Autumn,66.0,Silty,6.59,3.53,23.55,1.25,39.03,15.44,86.95,12.5,1.13,Red,30.6,26.11
Lychee,Autumn,89.4,Clayey,7.5,2.46,39.11,1.4,96.71,41.39,199.29,20.65,4.03,Gray,36.23,32.5
Chickpea,Winter,96.3,Loamy,6.84,1.65,29.25,1.51,51.31,23.24,150.24,23.94,2.28,Gray,57.91,33.95
Eggplant,Winter,27.3,Silty,8.3,0.77,14.64,1.22,38.97,35.32,61.08,7.58,1.44,Yellow,53.77,36.47
Tea,Winter,74.6,Loamy,8.06,2.02,18.06,1.3,36.68,27.4,170.19,17.0,2.15,Brown,38.02,20.67
Fig,Spring,69.8,Clayey,5.81,2.57,11.94,1.3,13.84,20.33,162.56,15.55,2.18,Brown,59.23,42.76
Black Pepper,Autumn,40.9,Clayey,5.89,3.59,15.47,1.49,71.63,27.28,110.18,7.84,2.9,Red,56.1,45.86
Rubber,Winter,11.7,Sandy,7.53,3.41,24.64,1.22,33.63,41.62,68.55,13.53,0.28,Red,31.94,24.27
Foxtail Millet,Summer,72.1,Silty,6.19,4.76,20.35,1.58,96.3,17.67,124.62,18.38,1.31,Red,54.34,46.9
Cardamom,Autumn,95.1,Silty,7.87,0.95,16.12,1.36,28.94,23.96,164.5,21.25,2.39,Brown,53.53,45.53
Foxtail Millet,Summer,66.9,Sandy,7.27,2.01,14.4,1.24,57.65,14.12,61.4,12.22,2.76,Gray,36.63,36.27
Soybean,Spring,49.2,Silty,6.19,2.67,29.68,1.24,76.19,20.8,74.52,16.91,0.88,Gray,50.08,28.24
Muskmelon,Winter,57.3,Loamy,6.94,3.52,26.74,1.11,88.31,44.83,142.84,23.35,1.05,Red,59.11,26.22
Spinach,Summer,28.0,Loamy,6.72,2.73,35.28,1.45,24.08,40.36,133.93,15.56,3.67,Gray,50.28,34.67
Chickpea,Spring,77.5,Clayey,8.12,4.61,15.5,1.49,98.69,21.81,185.76,28.52,3.95,Red,54.41,35.22
Cocoa,Winter,77.2,Loamy,5.6,3.24,35.44,1.12,91.61,10.96,172.22,5.77,0.47,Black,32.98,39.56
Radish,Summer,23.1,Silty,8.19,0.68,27.34,1.39,96.66,23.9,187.82,11.51,4.95,Gray,51.82,44.05
Grapes,Summer,89.0,Sandy,7.46,1.01,17.99,1.49,86.74,39.73,119.89,8.33,2.22,Brown,36.14,48.03
Peas,Spring,34.2,Clayey,7.71,3.89,18.21,1.29,88.99,6.97,168.17,18.53,2.97,Yellow,32.16,43.89
Banana,Winter,98.4,Sandy,5.51,3.72,21.71,1.32,63.89,38.54,57.31,9.43,3.01,Brown,46.56,47.27
Blueberry,Winter,44.5,Clayey,7.38,1.19,23.8,1.28,86.08,35.6,94.17,23.55,1.8,Brown,52.52,34.98
Thyme,Summer,26.0,Clayey,7.27,0.77,12.48,1.26,58.06,7.91,146.64,27.96,2.77,Yellow,46.4,21.17
Brussels Sprout,Summer,41.7,Sandy,7.11,3.1,35.26,1.35,58.44,33.6,164.55,10.18,2.96,Red,57.95,21.55
Garlic,Summer,49.6,Loamy,7.86,3.36,13.65,1.18,60.63,18.44,135.57,27.67,3.83,Gray,50.87,28.05
Flax,Winter,16.2,Loamy,7.17,1.11,24.5,1.32,99.67,12.98,122.11,20.79,3.34,Brown,33.53,38.42
Tea,Spring,62.0,Loamy,8.07,2.63,21.49,1.57,19.4,22.32,84.99,9.9,2.29,Gray,58.04,30.06
Cashew,Spring,63.8,Loamy,6.2,1.88,25.37,1.11,82.5,14.24,76.13,23.41,1.04,Yellow,34.59,24.98
Jute,Winter,76.5,Sandy,7.92,4.69,36.62,1.18,34.6,42.11,181.32,7.27,0.22,Yellow,52.75,45.51
Basil,Autumn,12.6,Silty,6.04,1.49,39.67,1.49,42.51,38.39,71.33,22.3,3.29,Gray,34.46,49.55
Tomato,Spring,58.7,Clayey,7.94,3.8,10.61,1.17,17.25,49.13,115.29,26.53,2.44,Gray,59.96,20.5
Garlic,Summer,14.8,Sandy,8.32,2.83,21.8,1.24,41.64,29.03,183.27,28.76,4.83,Yellow,39.97,22.68
Garlic,Autumn,73.1,Loamy,6.51,0.55,34.53,1.33,99.17,9.01,72.16,6.36,0.58,Red,44.88,34.98
Vanilla,Autumn,15.0,Loamy,7.09,2.83,19.8,1.57,45.74,21.55,69.13,6.55,0.46,Gray,44.01,30.13
Broccoli,Spring,92.1,Sandy,7.47,0.95,29.47,1.19,70.27,42.74,153.88,28.26,0.99,Black,33.06,43.46
Beetroot,Autumn,73.2,Clayey,5.74,3.47,39.77,1.56,20.86,22.86,99.74,24.74,1.95,Black,44.82,39.63
Jute,Autumn,55.7,Sandy,6.98,3.04,29.4,1.46,93.02,25.51,115.36,24.36,0.96,Gray,34.49,22.06
Kiwi,Spring,49.7,Sandy,6.58,0.55,13.34,1.44,84.5,23.54,143.84,23.57,2.37,Brown,54.06,36.35
Okra,Spring,21.8,Silty,8.12,1.42,35.29,1.46,44.77,15.59,106.85,22.93,1.76,Yellow,58.75,30.1
Bell Pepper,Autumn,36.2,Sandy,8.13,3.99,39.0,1.12,41.36,8.29,169.98,20.33,5.0,Red,54.24,48.95
Jute,Summer,88.2,Silty,7.6,1.74,31.38,1.15,48.9,13.13,195.35,25.32,4.84,Black,42.93,34.26
Horse Gram,Winter,91.4,Clayey,7.47,2.75,22.57,1.27,46.11,21.38,189.96,5.85,1.89,Black,30.07,47.83
Wheat,Autumn,10.1,Sandy,7.7,1.9,38.45,1.14,33.22,16.04,131.82,23.51,3.98,Brown,31.1,20.91
Onion,Autumn,63.5,Sandy,6.6,4.65,39.06,1.59,99.18,30.77,103.22,19.57,1.28,Gray,44.85,23.1
Jute,Summer,74.7,Loamy,6.71,2.91,38.05,1.39,82.95,32.63,115.06,27.69,0.38,Brown,50.38,31.59
Fig,Autumn,65.7,Sandy,7.16,3.63,22.35,1.34,34.11,30.65,99.52,28.41,0.3,Red,54.59,46.61
Corn,Autumn,17.4,Loamy,8.31,0.88,33.69,1.49,98.36,8.82,116.26,11.03,0.24,Gray,47.99,36.34
Buckwheat,Winter,29.6,Loamy,7.67,0.68,29.63,1.59,11.4,35.01,51.95,24.74,3.71,Black,59.35,44.72
Raspberry,Winter,32.5,Loamy,7.15,1.67,15.39,1.58,49.41,22.31,58.28,28.92,1.78,Black,44.81,28.51
Onion,Winter,84.9,Clayey,7.81,1.89,26.07,1.5,61.25,44.52,165.7,11.67,4.14,Yellow,48.0,23.34
Cotton,Spring,51.7,Silty,6.61,3.59,32.43,1.29,13.38,28.65,100.22,26.28,4.38,Red,36.9,27.38
Jute,Spring,53.8,Loamy,7.69,3.06,36.88,1.13,24.49,8.8,169.16,19.66,1.6,Black,40.19,39.36
Papaya,Winter,94.1,Sandy,6.73,2.19,35.88,1.15,33.23,5.41,121.99,14.87,1.52,Brown,50.49,46.14
Horse Gram,Winter,67.3,Sandy,6.34,3.44,14.64,1.1,74.82,36.61,170.89,25.59,1.61,Black,48.05,33.65
Black Pepper,Spring,90.9,Loamy,7.33,1.24,24.64,1.1,94.58,23.02,149.54,26.76,2.43,Brown,41.09,25.81
Vanilla,Summer,51.1,Loamy,7.56,0.79,24.35,1.57,66.21,17.96,80.15,12.07,0.18,Brown,33.36,39.13
